original_name,wikidata_id,aliases,relationships,brands,status,aliases_text,num_aliases,brands_text,num_brands,num_subsidiaries,num_parent_organizations,num_successors,num_predecessors,subsidiary_names,brand_names
Mammut Sports Group,Q495318,"['Mammut Sports Group AG', 'Mammut Sports Group', 'Mammut']","{'subsidiaries': [], 'parent_organizations': ['Q1129539'], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Mammut Sports Group AG|Mammut Sports Group|Mammut,3,,0,0,1,0,0,,
STT,Q2037125,"['State Street', 'STT', 'State Street Corporation']","{'subsidiaries': ['Q7603549', 'Q7603552'], 'parent_organizations': [], 'successors': [], 'predecessors': ['Q6060936'], 'replaces': [], 'replaced_by': []}",[],found,State Street|STT|State Street Corporation,3,,0,2,0,0,1,State Street Bank and Trust Company|State Street Global Advisors,
Tectoy,Q2985314,"['Tec Toy', 'Tectoy S.A', 'Tec Toy S.A', 'Tec Toy Desenvolvimento Digital', 'Tectoy']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Tec Toy|Tectoy S.A|Tec Toy S.A|Tec Toy Desenvolvimento Digital|Tectoy,5,,0,0,0,0,0,,
Powa Technologies,Q17021605,['Powa Technologies'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Powa Technologies,1,,0,0,0,0,0,,
STUDIOCANAL,Q19600200,"['StudioCanal', 'Anton Capital Entertainment']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,StudioCanal|Anton Capital Entertainment,2,,0,0,0,0,0,,
NBB,Q3334253,"['Naramore, Bain, Brady & Johanson', 'Naramore, Bain, Brady, and Johanson', 'NBBJ']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,"Naramore, Bain, Brady & Johanson|Naramore, Bain, Brady, and Johanson|NBBJ",3,,0,0,0,0,0,,
Unilever,Q157062,"['Unilever Ltd.', 'Unilever PLC', 'Unilever N.V.', 'Unilever']","{'subsidiaries': ['Q19910161', 'Q18159894', 'Q7885208', 'Q24697037', 'Q7885210', 'Q1619376', 'Q7885206', 'Q7885211', 'Q28971003', 'Q28971005', 'Q28971006', 'Q816412', 'Q874407', 'Q2441410', 'Q19833952', 'Q106782547', 'Q357536', 'Q25052155', 'Q4209414', 'Q11345740', 'Q107013863', 'Q120147760', 'Q107072191'], 'parent_organizations': [], 'successors': [], 'predecessors': ['Q7887318', 'Q106728105', 'Q2237108'], 'replaces': ['Q1895183'], 'replaced_by': []}","['vaseline', 'Knorr', 'Maille', 'Sunsilk', 'Magnum', 'Lux', 'Axe', ""Hellmann's and Best Foods"", ""Ben & Jerry's"", 'Lipton', 'Dove', 'Rexona', 'Hindustan Unilever', 'Cornetto', 'Brooke Bond', 'Heartbrand', 'Rama', 'Hertog', 'Sunil', 'Q2230481', 'Popsicle', 'Alsa', 'Unilever House', 'Zwitsal', ""Colman's"", 'Zendium', 'Cif', 'Surf', 'Clear', 'Grom', 'Mentadent', 'Calvé', 'Q4076949', 'Breyers', 'Close-Up', 'Colworth House', 'Continental', 'Gold Dust washing powder', 'Jif', 'Noxzema', ""Pond's Creams"", 'Radox', 'Good Humor', 'Seventh Generation Inc.', 'Simple Skincare', 'TRESemmé', 'Unilever Research & Development Port Sunlight Laboratory', 'Arisco', 'Companhia Industrial de Conservas Alimentícias', 'Maizena', 'Klondike bar', 'Dermalogica Inc.', 'Unilever (Bydgoszcz)', 'Frisko', 'Dollar Shave Club']",found,Unilever Ltd.|Unilever PLC|Unilever N.V.|Unilever,4,vaseline|Knorr|Maille|Sunsilk|Magnum|Lux|Axe|Hellmann's and Best Foods|Ben & Jerry's|Lipton|Dove|Rexona|Hindustan Unilever|Cornetto|Brooke Bond|Heartbrand|Rama|Hertog|Sunil|Q2230481|Popsicle|Alsa|Unilever House|Zwitsal|Colman's|Zendium|Cif|Surf|Clear|Grom|Mentadent|Calvé|Q4076949|Breyers|Close-Up|Colworth House|Continental|Gold Dust washing powder|Jif|Noxzema|Pond's Creams|Radox|Good Humor|Seventh Generation Inc.|Simple Skincare|TRESemmé|Unilever Research & Development Port Sunlight Laboratory|Arisco|Companhia Industrial de Conservas Alimentícias|Maizena|Klondike bar|Dermalogica Inc.|Unilever (Bydgoszcz)|Frisko|Dollar Shave Club,55,23,0,0,3,Moscow margarine factory|Unilever Philippines|Unilever|Unilever Bangladesh Limited|Unilever Nepal|Hindustan Unilever|Unilever Australasia|Unilever Pakistan|Unilever (Netherlands)|Unilever (United States)|Unilever (Germany)|Ben & Jerry's|Lipton|Bovril|4P Rube Göttingen|John Knight|Lever Brothers|Shea Moisture|Kalina|Unilever Japan K.K.|Deutsche Jurgens-Werke|Margarine-Union|Sunlicht Gesellschaft,vaseline|Knorr|Maille|Sunsilk|Magnum|Lux|Axe|Hellmann's and Best Foods|Ben & Jerry's|Lipton|Dove|Rexona|Hindustan Unilever|Cornetto|Brooke Bond|Heartbrand|Rama|Hertog|Sunil|Q2230481|Popsicle|Alsa|Unilever House|Zwitsal|Colman's|Zendium|Cif|Surf|Clear|Grom|Mentadent|Calvé|Q4076949|Breyers|Close-Up|Colworth House|Continental|Gold Dust washing powder|Jif|Noxzema|Pond's Creams|Radox|Good Humor|Seventh Generation Inc.|Simple Skincare|TRESemmé|Unilever Research & Development Port Sunlight Laboratory|Arisco|Companhia Industrial de Conservas Alimentícias|Maizena|Klondike bar|Dermalogica Inc.|Unilever (Bydgoszcz)|Frisko|Dollar Shave Club
Teekanne,Q1339361,['Teekanne'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Teekanne,1,,0,0,0,0,0,,
Tomado,Q1847088,"['Firma Tomado', 'Tomado']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Firma Tomado|Tomado,2,,0,0,0,0,0,,
NBB BOHEMIA,Q54942278,"['NBB Bohemia s. r. o.', 'NBB Bohemi']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,NBB Bohemia s. r. o.|NBB Bohemi,2,,0,0,0,0,0,,
Prym Consumer,Q54943831,"['PRYM CONSUMER CZ s.r.o.', 'PRYM CONSUMER CZ']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,PRYM CONSUMER CZ s.r.o.|PRYM CONSUMER CZ,2,,0,0,0,0,0,,
Alfred Music,Q2645693,"['Alfred Music', 'Alfred Music Publishing']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Alfred Music|Alfred Music Publishing,2,,0,0,0,0,0,,
SCANPAN,Q131350388,[],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,,0,,0,0,0,0,0,,
MONTANA-CANS,Q3322421,['Montana Cans'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Montana Cans,1,,0,0,0,0,0,,
Maruman,Q11341439,"['マルマン', 'Maruman']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,マルマン|Maruman,2,,0,0,0,0,0,,
LEXON,Q102265559,['LEXONA'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,LEXONA,1,,0,0,0,0,0,,
Arena S.p.A,Q641306,"['Arena S.p.A.', 'Arena']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Arena S.p.A.|Arena,2,,0,0,0,0,0,,
Tatonka GmbH,Q2395744,['Tatonka'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Tatonka,1,,0,0,0,0,0,,
Sigg Switzerland AG,Q681274,"['AG Sigg', 'SIGG Switzerland AG', 'Sigg Switzerland AG', 'Sigg']","{'subsidiaries': [], 'parent_organizations': ['Q136202619'], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,AG Sigg|SIGG Switzerland AG|Sigg Switzerland AG|Sigg,4,,0,0,1,0,0,,
Fenix Outdoor AB,Q10494668,['Fenix Outdoor'],"{'subsidiaries': ['Q1531763', 'Q42329621', 'Q11886774', 'Q1584049', 'Q1422481', 'Q10594975'], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Fenix Outdoor,1,,0,6,0,0,0,Globetrotter Ausrüstung|Friluftsland|Partioaitta|Hanwag|Fjällräven|Naturkompaniet,
Seafolly,Q7440355,['Seafolly'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Seafolly,1,,0,0,0,0,0,,
IRWIN TOOLS,Q3739866,"['IRWIN Industrial Tools', 'IRWIN TOOLS', 'Irwin Industrial Tools']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,IRWIN Industrial Tools|IRWIN TOOLS|Irwin Industrial Tools,3,,0,0,0,0,0,,
simplehuman,Q16949793,"['simple human', 'simplehuman']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,simple human|simplehuman,2,,0,0,0,0,0,,
K&N Engineering,Q6322406,"['K&N Engineering, Inc.']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,"K&N Engineering, Inc.",1,,0,0,0,0,0,,
R&M,Q135843015,['R&M GEODATA'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,R&M GEODATA,1,,0,0,0,0,0,,
OFFERO,Q96139700,['OFFERO j.s.a.'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,OFFERO j.s.a.,1,,0,0,0,0,0,,
Vivon,Q63184545,['Vivon Netherlands'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Vivon Netherlands,1,,0,0,0,0,0,,
Thinkware,Q136698810,"['THINKWARE CORPORATION (Seongnam-si)', 'THINKWARE CORPORATION']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,THINKWARE CORPORATION (Seongnam-si)|THINKWARE CORPORATION,2,,0,0,0,0,0,,
C-TECH,Q11308848,"['C-TECH CORPORATION.', 'C-Tech']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,C-TECH CORPORATION.|C-Tech,2,,0,0,0,0,0,,
Medline,Q6807236,['Medline Industries'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Medline Industries,1,,0,0,0,0,0,,
